NAME,GP,ROLE,COUNTRY,FIBA_CLASS,FIBA_YEAR,POSS,PTS,PPP,AST,TO,FG%,3FG_ATT,3FG%,EFG%,TOT_REB,FT_ATT,FT%,STL_BLK,AST_TO,PTS/G_career,AST_career,TRB_career,STL_BLK_career,G_career,PER_career,best_season,bestteam,bestconf,PTS/G_best,AST_best,TRB_best,STL_BLK_best,PER_best,made_d1,bestteam_rank,team_mult,conf_mult,league_adj_best
Yvonne Ejim,2,,Canada,U19,2019,1.5,1.0,0.667,0.0,0.0,33.3%,0.0,-,33.3%,3.0,0.0,-,0.5,-,14.8,1.6,7.1,2.1,161.0,18.0,2023-24,Gonzaga,WCC,19.7,2.3,8.7,2.4,25.1,1.0,43.5,1.049125,1.02,26.85969825
Yvonne Ejim,7,Slashing wing,Canada,U19,2021,14.9,13.4,0.904,1.6,2.3,46.8%,0.6,0.0%,46.8%,9.3,3.6,88.0%,2.7,0.69,14.8,1.6,7.1,2.1,161.0,18.0,2023-24,Gonzaga,WCC,19.7,2.3,8.7,2.4,25.1,1.0,43.5,1.049125,1.02,26.85969825
Aaliyah Edwards,7,Slashing wing,Canada,U19,2019,13.1,11.1,0.848,1.7,2.1,47.5%,0.4,33.3%,48.4%,6.6,4.9,55.9%,1.7,0.80,13.4,1.7,7.3,2.2,139.0,17.6,2023-24,UConn,Big East,17.6,2.1,9.2,2.7,23.1,1.0,1.5,1.059625,1.05,25.701204375000003
Avery Howell,7,Dynamic shooting wing,Canada,U19,2025,11.0,14.3,1.299,1.7,0.9,53.3%,5.3,48.6%,68.3%,3.4,3.3,78.3%,1.6,2.00,10.7,1.1,5.5,1.4,68.0,13.5,2025-26,Washington,Big Ten,14.2,1.4,8.3,1.8,19.1,1.0,48.5,1.047875,1.12,22.416142
Toby Fournier,7,Rim-finishing big,Canada,U17,2022,15.0,13.3,0.886,1.3,0.7,45.6%,0.0,-,45.6%,11.3,6.6,45.7%,3.9,1.80,15.3,0.8,6.6,2.4,71.0,15.8,2025-26,Duke,ACC,17.3,1.2,7.9,3.1,18.8,1.0,16.5,1.055875,1.12,22.232504
Toby Fournier,7,Rim-finishing big,Canada,U19,2023,17.4,16.1,0.926,1.3,1.6,50.0%,0.0,-,50.0%,13.3,7.3,45.1%,2.6,0.82,15.3,0.8,6.6,2.4,71.0,15.8,2025-26,Duke,ACC,17.3,1.2,7.9,3.1,18.8,1.0,16.5,1.055875,1.12,22.232504
Achol Akot,7,Playmaking big,Canada,U19,2023,4.1,2.6,0.621,1.3,1.6,46.2%,0.0,-,46.2%,5.9,1.4,60.0%,0.7,0.82,8.3,1.6,6.6,1.7,91.0,12.6,2025-26,Oklahoma St.,Big 12,12.4,1.8,7.2,2.3,18.0,1.0,36.5,1.050875,1.13,21.374797499999996
Cearah Parchment,6,Spot-up shooting wing,Canada,U16,2019,12.8,9.7,0.753,2.2,1.0,34.3%,5.5,18.2%,38.8%,6.3,1.3,75.0%,4.5,2.17,13.6,1.4,8.4,2.2,34.0,18.2,2025-26,Illinois,Big Ten,13.6,1.4,8.4,2.2,18.2,1.0,93.5,1.036625,1.12,21.130564
Cearah Parchment,7,Dynamic shooting wing,Canada,U17,2024,10.6,3.9,0.365,2.1,2.1,19.6%,2.9,0.0%,19.6%,5.4,0.9,83.3%,1.6,1.00,13.6,1.4,8.4,2.2,34.0,18.2,2025-26,Illinois,Big Ten,13.6,1.4,8.4,2.2,18.2,1.0,93.5,1.036625,1.12,21.130564
Cearah Parchment,7,Stretch big,Canada,U19,2025,8.7,8.1,0.934,2.6,1.0,42.2%,2.3,31.3%,47.8%,6.0,2.6,77.8%,1.6,2.57,13.6,1.4,8.4,2.2,34.0,18.2,2025-26,Illinois,Big Ten,13.6,1.4,8.4,2.2,18.2,1.0,93.5,1.036625,1.12,21.130564
Georgia Amoore,7,Secondary ball handler,Australia,U17,2018,6.9,5.1,0.75,1.7,1.1,35.3%,1.7,33.3%,41.2%,1.6,1.7,66.7%,1.0,1.50,15.7,5.5,2.5,1.1,157.0,13.3,2024-25,Kentucky,SEC,19.6,6.9,2.3,1.4,16.8,1.0,22.0,1.0545,1.13,20.018628
Elsa Lemmila,1,,Finland,U16,2021,12.0,18.0,1.500,1.0,0.0,80.0%,0.0,-,80.0%,8.0,5.0,40.0%,7.0,-,6.7,1.5,6.2,2.9,66.0,12.7,2025-26,Ohio St.,Big Ten,9.1,2.2,7.5,3.3,16.3,1.0,14.5,1.056375,1.12,19.28518200000001
Elsa Lemmila,7,Stretch big,Finland,U18,2022,12.6,12.9,1.023,1.3,1.6,53.2%,0.0,-,53.2%,9.0,4.7,72.7%,2.7,0.82,6.7,1.5,6.2,2.9,66.0,12.7,2025-26,Ohio St.,Big Ten,9.1,2.2,7.5,3.3,16.3,1.0,14.5,1.056375,1.12,19.28518200000001
Mama Dembele,11,Playmaking ball handler,Spain,U18,2019,7.5,4.5,0.59,2.0,2.7,40.0%,1.8,25.0%,45.6%,1.2,1.5,50.0%,0.7,0.73,6.0,4.4,3.0,2.0,144.0,9.0,2023-24,Missouri,SEC,10.2,6.5,4.9,3.3,16.0,1.0,49.0,1.04775,1.13,18.943319999999996
Mama Dembele,7,Playmaking ball handler,Spain,U20,2022,11.0,7.9,0.714,3.0,2.7,40.0%,2.3,31.3%,45.0%,4.0,2.4,58.8%,3.3,1.11,6.0,4.4,3.0,2.0,144.0,9.0,2023-24,Missouri,SEC,10.2,6.5,4.9,3.3,16.0,1.0,49.0,1.04775,1.13,18.943319999999996
Fatmata Janneh,8,Playmaking wing,Great Britain,U16,2019,10.5,7.0,0.667,1.9,2.1,38.2%,2.6,19.0%,41.8%,4.1,3.1,40.0%,1.6,0.88,13.6,1.5,9.8,2.2,85.0,15.3,2025-26,Texas A&M,SEC,11.4,1.1,9.7,1.8,15.9,1.0,31.0,1.05225,1.13,18.905775749999997
Fatmata Janneh,7,Slashing wing,Great Britain,U18,2022,13.0,8.4,0.648,1.7,2.3,28.3%,2.7,26.3%,32.5%,7.1,4.4,64.5%,1.9,0.75,13.6,1.5,9.8,2.2,85.0,15.3,2025-26,Texas A&M,SEC,11.4,1.1,9.7,1.8,15.9,1.0,31.0,1.05225,1.13,18.905775749999997
Fatmata Janneh,4,Slashing wing,Great Britain,U20,2023,21.8,15.0,0.69,3.3,4.3,35.8%,4.3,17.6%,38.7%,10.3,9.3,51.4%,2.3,0.76,13.6,1.5,9.8,2.2,85.0,15.3,2025-26,Texas A&M,SEC,11.4,1.1,9.7,1.8,15.9,1.0,31.0,1.05225,1.13,18.905775749999997
Cassandre Prosper,6,Slashing wing,Canada,U16,2021,19.8,16.8,0.849,2.7,3.3,45.3%,1.7,20.0%,46.5%,9.2,5.3,65.6%,4.0,0.80,8.7,1.2,4.8,2.1,97.0,10.2,2025-26,Notre Dame,ACC,13.6,1.6,6.5,2.7,15.9,1.0,7.0,1.05825,1.12,18.845316
Cassandre Prosper,7,Slashing wing,Canada,U17,2022,19.7,14.0,0.71,2.3,3.9,37.8%,3.4,16.7%,39.8%,9.6,4.4,64.5%,7.6,0.59,8.7,1.2,4.8,2.1,97.0,10.2,2025-26,Notre Dame,ACC,13.6,1.6,6.5,2.7,15.9,1.0,7.0,1.05825,1.12,18.845316
Cassandre Prosper,6,Dynamic shooting wing,Canada,U19,2023,18.5,16.2,0.874,2.3,2.8,45.5%,2.5,40.0%,49.4%,5.8,5.8,60.0%,3.5,0.82,8.7,1.2,4.8,2.1,97.0,10.2,2025-26,Notre Dame,ACC,13.6,1.6,6.5,2.7,15.9,1.0,7.0,1.05825,1.12,18.845316
Stephanie Visscher,7,Slashing wing,Sweden,U20,2019,10.1,8.7,0.859,1.3,2.0,44.9%,2.0,35.7%,50.0%,5.1,2.7,63.2%,1.9,0.64,10.0,2.5,4.8,2.5,150.0,13.5,2021-22,Stephen F. Austin,WAC,14.2,2.9,6.4,3.3,18.3,1.0,141.0,1.02475,0.99,18.56539575
Helena Pueyo,7,Playmaking wing,Spain,U18,2018,9.1,8.0,0.875,2.3,1.1,41.2%,2.9,20.0%,45.1%,3.6,1.6,90.9%,3.0,2.0,5.9,2.4,3.0,2.7,150.0,9.9,2023-24,Arizona,Pac-12,9.7,3.6,3.7,4.1,15.3,1.0,45.0,1.04875,1.14,18.2922975
Helena Pueyo,12,Secondary ball handler,Spain,U18,2019,11.6,10.6,0.914,1.4,1.4,41.2%,4.8,40.4%,50.8%,2.7,0.6,85.7%,2.3,1.0,5.9,2.4,3.0,2.7,150.0,9.9,2023-24,Arizona,Pac-12,9.7,3.6,3.7,4.1,15.3,1.0,45.0,1.04875,1.14,18.2922975
Tess Heal,5,Slashing wing,Australia,U18,2022,7.8,7.0,0.897,2.4,2.0,52.0%,1.2,33.3%,56.0%,4.4,2.2,63.6%,1.2,1.20,14.1,3.0,3.5,1.1,130.0,13.3,2023-24,Santa Clara,WCC,19.5,4.9,3.9,1.2,17.2,1.0,118.0,1.0305,1.02,18.079092
Tess Heal,6,Playmaking ball handler,Australia,U19,2023,11.0,7.8,0.712,3.8,3.5,46.2%,1.2,28.6%,48.7%,3.8,2.2,69.2%,1.0,1.10,14.1,3.0,3.5,1.1,130.0,13.3,2023-24,Santa Clara,WCC,19.5,4.9,3.9,1.2,17.2,1.0,118.0,1.0305,1.02,18.079092
Syla Swords,7,Playmaking wing,Canada,U17,2022,5.7,4.7,0.825,2.4,1.1,40.0%,2.3,31.3%,48.3%,4.0,0.6,100.0%,2.4,2.13,15.3,2.4,5.2,1.5,67.0,13.8,2024-25,Michigan,Big Ten,16.0,2.5,6.2,1.2,15.1,1.0,24.0,1.054,1.12,17.825248000000002
Syla Swords,7,Playmaking wing,Canada,U19,2023,14.6,15.0,1.029,2.1,2.0,46.9%,5.6,46.2%,58.0%,3.3,2.3,68.8%,1.3,1.07,15.3,2.4,5.2,1.5,67.0,13.8,2024-25,Michigan,Big Ten,16.0,2.5,6.2,1.2,15.1,1.0,24.0,1.054,1.12,17.825248000000002
Syla Swords,7,Slashing wing,Canada,U19,2025,13.7,16.1,1.177,2.3,0.7,50.0%,5.6,43.6%,59.9%,6.4,1.9,76.9%,0.9,3.20,15.3,2.4,5.2,1.5,67.0,13.8,2024-25,Michigan,Big Ten,16.0,2.5,6.2,1.2,15.1,1.0,24.0,1.054,1.12,17.825248000000002
Sophie Taylor,6,Spot-up shooting wing,Australia,U16,2023,14.3,10.5,0.733,3.3,2.0,34.2%,7.7,26.1%,42.5%,6.8,0.3,50.0%,1.8,1.67,9.4,1.0,5.6,2.0,110.0,11.2,2015-16,Loyola Marymount,WCC,12.7,1.2,8.5,2.9,17.0,1.0,180.5,1.014875,1.02,17.5979325
Tara Wallack,3,Playmaking wing,Canada,U16,2019,9.0,8.3,0.926,2.0,1.3,50.0%,2.3,42.9%,57.5%,5.3,2.0,33.3%,4.0,1.50,9.6,1.9,5.0,1.9,134.0,11.7,2024-25,Washington St.,WCC,12.5,2.6,6.7,3.0,16.3,1.0,59.0,1.04525,1.02,17.3783265
Tara Wallack,7,Slashing wing,Canada,U19,2021,9.0,6.9,0.762,1.1,1.1,31.9%,1.7,41.7%,37.2%,5.6,2.4,76.5%,2.7,1.00,9.6,1.9,5.0,1.9,134.0,11.7,2024-25,Washington St.,WCC,12.5,2.6,6.7,3.0,16.3,1.0,59.0,1.04525,1.02,17.3783265
Jasmine Bascoe,6,Secondary ball handler,Canada,U18,2022,10.2,7.3,0.721,3.5,2.7,35.0%,4.0,33.3%,45.0%,4.7,1.7,80.0%,1.3,1.31,17.5,4.5,4.3,2.1,67.0,15.6,2024-25,Villanova,Big East,16.2,4.3,4.5,2.1,15.8,1.0,62.0,1.0445,1.05,17.328255
Jasmine Bascoe,6,Playmaking ball handler,Canada,U18,2024,18.0,14.8,0.824,4.7,2.8,35.8%,7.5,31.1%,44.4%,4.2,3.5,81.0%,3.8,1.65,17.5,4.5,4.3,2.1,67.0,15.6,2024-25,Villanova,Big East,16.2,4.3,4.5,2.1,15.8,1.0,62.0,1.0445,1.05,17.328255
Jasmine Bascoe,6,Secondary ball handler,Canada,U19,2023,10.3,5.5,0.532,3.3,2.2,25.5%,3.5,14.3%,28.7%,1.3,1.2,85.7%,0.8,1.54,17.5,4.5,4.3,2.1,67.0,15.6,2024-25,Villanova,Big East,16.2,4.3,4.5,2.1,15.8,1.0,62.0,1.0445,1.05,17.328255
Jasmine Bascoe,7,Scoring ball handler,Canada,U19,2025,19.0,13.1,0.692,5.7,3.1,34.0%,6.0,26.2%,39.2%,2.4,1.7,75.0%,1.9,1.82,17.5,4.5,4.3,2.1,67.0,15.6,2024-25,Villanova,Big East,16.2,4.3,4.5,2.1,15.8,1.0,62.0,1.0445,1.05,17.328255
Leia Edwards,7,Slashing wing,Great Britain,U18,2022,12.6,12.6,1.0,1.0,1.7,50.0%,1.1,25.0%,51.7%,7.6,5.6,71.8%,1.9,0.58,13.6,3.1,7.7,1.3,17.0,17.3,2025-26,Lehigh,Patriot,13.6,3.1,7.7,1.3,17.3,1.0,199.0,1.01025,0.99,17.302551749999996
Leia Edwards,1,,Great Britain,U18,2023,15.0,8.0,0.533,1.0,2.0,27.3%,2.0,0.0%,27.3%,14.0,4.0,50.0%,2.0,0.50,13.6,3.1,7.7,1.3,17.0,17.3,2025-26,Lehigh,Patriot,13.6,3.1,7.7,1.3,17.3,1.0,199.0,1.01025,0.99,17.302551749999996
Skylar Forbes,5,Spot-up shooting wing,Canada,U18,2022,7.6,5.6,0.737,1.0,1.4,37.0%,2.0,30.0%,42.6%,5.2,1.6,62.5%,1.2,0.71,11.8,1.7,4.9,2.5,91.0,12.4,2024-25,Marquette,Big East,15.8,1.8,5.9,3.3,15.7,1.0,45.5,1.048625,1.05,17.286583124999996
Ioanna Krimili,7,Scoring ball handler,Greece,U18,2019,17.9,16.6,0.928,2.1,2.0,37.5%,5.9,31.7%,44.3%,4.0,5.1,86.1%,1.4,1.07,16.4,2.6,3.1,1.1,158.0,12.8,2021-22,San Francisco,WCC,19.4,3.1,4.2,1.3,16.3,1.0,131.5,1.027125,1.02,17.076980250000002
Lara Somfai,2,Slashing wing,Australia,U16,2023,15.5,16.0,1.032,1.0,3.0,50.0%,1.5,66.7%,54.5%,5.0,4.0,100.0%,0.0,0.33,10.8,1.5,9.1,1.5,32.0,14.3,2025-26,Stanford,ACC,10.8,1.5,9.1,1.5,14.3,1.0,7.5,1.058125,1.12,16.946930000000002
Lara Somfai,7,Dynamic shooting wing,Australia,U17,2024,15.9,13.6,0.856,1.4,2.9,37.5%,4.7,33.3%,44.4%,5.0,3.7,92.3%,1.4,0.50,10.8,1.5,9.1,1.5,32.0,14.3,2025-26,Stanford,ACC,10.8,1.5,9.1,1.5,14.3,1.0,7.5,1.058125,1.12,16.946930000000002
Elena Rodriguez,5,Playmaking wing,Spain,U18,2021,6.4,4.0,0.625,1.2,1.4,33.3%,1.8,11.1%,35.7%,2.2,1.8,55.6%,2.2,0.86,9.3,2.4,5.1,1.7,107.0,12.7,2022-23,Harvard,Ivy,11.3,2.8,6.9,1.7,16.2,1.0,100.0,1.035,1.01,16.934669999999997
Elena Rodriguez,7,Playmaking big,Spain,U20,2023,6.3,7.1,1.136,3.0,0.6,59.5%,1.1,12.5%,60.8%,3.9,0.9,83.3%,1.7,5.25,9.3,2.4,5.1,1.7,107.0,12.7,2022-23,Harvard,Ivy,11.3,2.8,6.9,1.7,16.2,1.0,100.0,1.035,1.01,16.934669999999997
Charlise Dunn,5,Playmaking big,Australia,U17,2019,6.0,6.4,1.067,2.0,0.4,52.2%,0.4,0.0%,52.2%,3.8,2.4,66.7%,0.8,5.00,12.1,1.6,5.9,2.3,95.0,12.9,2025-26,Davidson,A-10,15.3,1.9,7.4,2.5,16.3,1.0,152.5,1.021875,1.01,16.823128125
Charlise Dunn,3,,Australia,U19,2018,3.7,1.3,0.364,0.3,0.7,11.1%,2.0,16.7%,16.7%,2.7,0.3,100.0%,1.7,0.50,12.1,1.6,5.9,2.3,95.0,12.9,2025-26,Davidson,A-10,15.3,1.9,7.4,2.5,16.3,1.0,152.5,1.021875,1.01,16.823128125
Kiera Pemberton,6,Slashing wing,Canada,U16,2021,4.7,4.2,0.893,0.8,0.7,50.0%,0.0,-,50.0%,2.0,2.8,52.9%,1.7,1.25,11.0,0.8,5.5,1.3,76.0,11.6,2024-25,North Dakota,Summit,16.7,1.2,7.2,1.8,16.4,1.0,218.0,1.0055,1.0,16.490199999999998
Teresa Seppala,9,Spot-up shooting wing,Finland,U20,2022,11.1,8.0,0.720,0.6,2.7,34.3%,4.6,34.1%,44.3%,3.3,1.4,76.9%,0.9,0.21,13.6,1.7,6.4,1.7,87.0,14.6,2024-25,Siena,MAAC,16.7,2.4,6.2,2.2,16.9,1.0,259.0,0.99525,0.98,16.483330499999997
Isabelle Bourne,7,Stretch big,Australia,U19,2019,12.0,8.4,0.702,1.1,2.0,35.9%,1.6,27.3%,38.3%,4.1,2.1,66.7%,0.4,0.57,10.6,1.3,5.6,1.3,115.0,11.4,2022-23,Nebraska,Big Ten,12.6,1.2,6.7,1.2,13.8,1.0,39.5,1.050125,1.12,16.230732000000003
Mila Holloway,7,Playmaking ball handler,Canada,U19,2025,8.6,6.3,0.733,4.7,2.4,34.2%,2.9,45.0%,46.1%,1.9,1.6,81.8%,0.9,1.94,11.1,4.6,3.6,1.6,69.0,12.0,2025-26,Michigan,Big Ten,12.3,4.8,4.1,1.7,13.6,1.0,24.0,1.054,1.12,16.054528
Freja Werth,8,Spot-up shooting wing,Sweden,U18,2019,7.4,5.1,0.695,1.1,0.9,30.4%,2.5,30.0%,37.0%,5.6,1.5,58.3%,1.6,1.29,9.1,1.1,4.3,1.0,126.0,8.9,2024-25,San Francisco,WCC,17.1,1.5,6.1,1.7,15.2,1.0,131.5,1.027125,1.02,15.924546
Eliza Hollingsworth,7,Slashing wing,Australia,U17,2018,4.1,2.9,0.69,0.9,0.4,28.6%,0.4,0.0%,28.6%,3.4,1.6,72.7%,1.1,2.00,7.1,1.1,4.5,1.1,104.0,8.9,2023-24,Gonzaga,WCC,10.3,2.2,7.1,1.6,14.8,1.0,43.5,1.049125,1.02,15.837591000000003
Cheyenne Rowe,6,Playmaking big,Canada,U18,2022,4.2,4.0,0.96,0.7,0.2,36.8%,0.8,20.0%,39.5%,7.3,1.7,90.0%,1.2,4.00,6.8,0.5,4.7,0.7,110.0,8.1,2025-26,UTSA,American,13.9,1.0,8.7,1.5,15.4,1.0,185.0,1.01375,1.01,15.7678675
Kelsey Rees,5,Rim-finishing big,Australia,U17,2019,14.0,12.6,0.9,1.6,2.0,52.6%,0.0,-,52.6%,8.6,1.2,50.0%,1.2,0.80,6.0,0.9,4.5,1.1,153.0,8.2,2024-25,Oregon St.,WCC,12.9,1.6,7.7,1.1,14.6,1.0,17.0,1.05575,1.02,15.722229
Kelsey Rees,5,Rim-finishing big,Australia,U19,2018,5.0,2.8,0.56,0.2,1.0,29.4%,0.8,0.0%,29.4%,5.0,1.4,57.1%,0.8,0.20,6.0,0.9,4.5,1.1,153.0,8.2,2024-25,Oregon St.,WCC,12.9,1.6,7.7,1.1,14.6,1.0,17.0,1.05575,1.02,15.722229
Millie Prior,5,Rim-finishing big,Australia,U17,2019,8.2,9.8,1.195,0.6,1.2,70.0%,0.0,-,70.0%,6.4,2.4,58.3%,2.0,0.50,5.4,1.5,5.3,1.9,79.0,9.4,2023-24,Davidson,A-10,9.8,1.5,7.6,2.8,15.1,1.0,152.5,1.021875,1.01,15.584615624999998
Millie Prior,7,Playmaking big,Australia,U19,2018,6.3,3.9,0.614,2.0,1.6,39.3%,0.0,-,39.3%,6.7,1.4,50.0%,2.0,1.27,5.4,1.5,5.3,1.9,79.0,9.4,2023-24,Davidson,A-10,9.8,1.5,7.6,2.8,15.1,1.0,152.5,1.021875,1.01,15.584615624999998
Summah Hanson,5,Rim-finishing big,Australia,U16,2022,5.6,4.2,0.75,1.0,1.2,40.0%,0.8,25.0%,42.5%,6.4,0.8,100.0%,1.0,0.83,10.1,0.6,6.8,1.8,84.0,11.9,2023-24,Sacramento St.,Big Sky,14.0,1.1,8.8,2.2,15.4,1.0,224.0,1.004,1.0,15.4616
Olivia Pollerd,5,Stretch big,Australia,U17,2019,10.8,13.6,1.259,1.4,1.4,65.2%,3.4,41.2%,72.8%,5.0,0.6,33.3%,2.4,1.00,12.5,1.5,4.5,1.8,102.0,12.1,2023-24,Santa Clara,WCC,14.7,1.6,4.6,1.9,14.4,1.0,118.0,1.0305,1.02,15.135984
Olivia Pollerd,7,Spot-up shooting wing,Australia,U19,2018,5.7,5.6,0.975,1.6,0.6,40.0%,3.4,33.3%,51.4%,1.9,0.4,100.0%,0.9,2.75,12.5,1.5,4.5,1.8,102.0,12.1,2023-24,Santa Clara,WCC,14.7,1.6,4.6,1.9,14.4,1.0,118.0,1.0305,1.02,15.135984
Sophie Burrows,5,Spot-up shooting wing,Australia,U18,2022,7.0,9.2,1.314,0.6,0.0,51.5%,4.8,41.7%,66.7%,4.2,0.8,50.0%,1.8,-,9.3,1.8,4.8,1.9,92.0,10.2,2025-26,Syracuse,ACC,11.0,2.3,5.8,2.8,12.6,1.0,40.0,1.05,1.12,14.8176
Sophie Burrows,7,Spot-up shooting wing,Australia,U19,2023,6.1,6.6,1.07,1.7,0.7,40.5%,4.3,43.3%,58.1%,2.4,0.4,100.0%,1.7,2.40,9.3,1.8,4.8,1.9,92.0,10.2,2025-26,Syracuse,ACC,11.0,2.3,5.8,2.8,12.6,1.0,40.0,1.05,1.12,14.8176
Nika Muhl,12,Playmaking ball handler,Croatia,U18,2019,15.7,10.0,0.638,3.8,4.6,37.3%,2.4,27.6%,40.7%,3.3,3.1,64.9%,1.7,0.84,5.8,5.2,3.5,1.6,131.0,10.6,2023-24,UConn,Big East,6.9,6.5,4.0,1.5,13.0,1.0,1.5,1.059625,1.05,14.46388125
Maia Jones,6,Secondary ball handler,New Zealand,U16,2022,15.0,13.3,0.889,3.3,3.3,40.6%,6.8,48.8%,56.3%,3.5,2.2,61.5%,1.5,1.00,11.6,2.0,3.1,1.9,93.0,10.7,2025-26,Santa Clara,WCC,15.0,1.9,4.6,2.3,13.7,1.0,118.0,1.0305,1.02,14.400207
Maia Jones,6,Secondary ball handler,New Zealand,U16,2023,15.0,13.3,0.889,3.3,3.3,40.6%,6.8,48.8%,56.3%,3.5,2.2,61.5%,1.5,1.00,11.6,2.0,3.1,1.9,93.0,10.7,2025-26,Santa Clara,WCC,15.0,1.9,4.6,2.3,13.7,1.0,118.0,1.0305,1.02,14.400207
Bonnie Deas,5,Slashing wing,Australia,U18,2024,13.6,13.8,1.015,2.4,0.6,45.5%,3.0,26.7%,49.1%,5.8,4.0,75.0%,3.2,4.00,10.2,2.6,9.0,1.7,32.0,12.2,2025-26,Arkansas,SEC,10.2,2.6,9.0,1.7,12.2,1.0,67.0,1.04325,1.13,14.382244499999995
Queen Ikhiuwu,7,Post-up big,Spain,U18,2023,5.1,4.6,0.889,0.4,0.6,50.0%,0.1,0.0%,50.0%,2.9,0.0,-,0.9,0.75,7.6,0.9,4.6,0.9,66.0,8.0,2025-26,Wofford,Southern,13.2,1.5,7.6,1.6,14.6,1.0,246.5,0.998375,0.98,14.2847495
Petra Juric,10,Stretch big,Croatia,U18,2019,5.1,3.8,0.745,0.1,1.0,43.2%,0.0,-,43.2%,1.7,0.8,75.0%,0.6,0.10,8.9,1.1,6.5,1.9,103.0,13.0,2023-24,Manhattan,MAAC,10.1,1.3,7.6,2.1,14.6,1.0,253.5,0.996625,0.98,14.2597105
Emily Bessoir,10,Dynamic shooting wing,Germany,U18,2019,14.8,12.4,0.838,1.1,2.1,41.6%,5.0,34.0%,49.1%,7.4,3.1,41.9%,2.2,0.52,8.6,1.2,5.5,1.7,60.0,10.8,2022-23,UCLA,Pac-12,9.4,1.2,5.8,1.5,11.7,1.0,10.0,1.0575,1.14,14.104934999999996
Emily Bessoir,5,Slashing wing,Germany,U20,2021,21.8,16.2,0.743,1.6,2.6,35.6%,5.4,18.5%,38.5%,13.8,4.2,66.7%,5.2,0.62,8.6,1.2,5.5,1.7,60.0,10.8,2022-23,UCLA,Pac-12,9.4,1.2,5.8,1.5,11.7,1.0,10.0,1.0575,1.14,14.104934999999996
Jessica Petrie,6,Playmaking big,Australia,U16,2022,11.2,8.2,0.731,4.0,3.0,42.9%,1.8,27.3%,46.4%,4.7,2.3,71.4%,1.8,1.33,7.0,1.0,3.7,1.0,98.0,7.7,2025-26,Nebraska,Big Ten,11.3,1.4,4.8,2.1,11.8,1.0,39.5,1.050125,1.12,13.878452000000005
Jessica Petrie,7,Spot-up shooting wing,Australia,U19,2023,9.7,5.7,0.588,1.7,2.9,32.6%,3.4,25.0%,39.1%,3.7,0.6,100.0%,1.0,0.60,7.0,1.0,3.7,1.0,98.0,7.7,2025-26,Nebraska,Big Ten,11.3,1.4,4.8,2.1,11.8,1.0,39.5,1.050125,1.12,13.878452000000005
Isimenme Ozzy-Momodu,8,Rim-finishing big,Great Britain,U16,2019,15.1,10.0,0.661,1.1,3.4,42.5%,0.0,-,42.5%,16.0,4.0,37.5%,2.8,0.33,8.0,0.7,6.4,1.8,31.0,11.7,2025-26,Maryland,Big Ten,8.0,0.7,6.4,1.8,11.7,1.0,11.5,1.057125,1.12,13.852566
Ashlyn Rean,6,Slashing wing,New Zealand,U16,2022,8.2,6.0,0.735,1.7,1.7,40.0%,0.7,0.0%,40.0%,3.0,1.5,88.9%,1.5,1.00,12.7,0.5,7.0,1.8,6.0,13.4,2025-26,Fresno St.,MWC,12.7,0.5,7.0,1.8,13.4,1.0,161.5,1.019625,1.01,13.79960475
Ashlyn Rean,6,Slashing wing,New Zealand,U16,2023,8.2,6.0,0.735,1.7,1.7,40.0%,0.7,0.0%,40.0%,3.0,1.5,88.9%,1.5,1.00,12.7,0.5,7.0,1.8,6.0,13.4,2025-26,Fresno St.,MWC,12.7,0.5,7.0,1.8,13.4,1.0,161.5,1.019625,1.01,13.79960475
Mary-Anna Asare,6,Secondary ball handler,Canada,U18,2022,13.2,9.3,0.709,3.0,2.2,34.4%,5.0,30.0%,41.4%,4.0,1.2,42.9%,1.8,1.38,11.7,1.7,3.6,1.4,95.0,9.1,2024-25,VCU,A-10,16.0,2.7,4.2,1.9,13.2,1.0,134.5,1.026375,1.01,13.6836315
Mary Anna Asare,7,Scoring ball handler,Canada,U19,2023,6.9,4.1,0.604,1.7,1.7,32.3%,1.0,28.6%,35.5%,2.0,1.4,70.0%,0.9,1.00,11.7,1.7,3.6,1.4,95.0,9.1,2024-25,VCU,A-10,16.0,2.7,4.2,1.9,13.2,1.0,134.5,1.026375,1.01,13.6836315
Deja Lee,5,Playmaking wing,Canada,U16,2019,7.8,3.2,0.41,1.6,1.4,20.7%,1.6,0.0%,20.7%,2.6,1.2,66.7%,1.2,1.14,8.9,2.0,2.8,1.7,124.0,8.1,2023-24,UC Irvine,Big West,13.9,2.1,3.5,2.8,13.2,1.0,167.0,1.01825,1.0,13.440899999999996
Deja Lee,6,Playmaking wing,Canada,U19,2021,4.7,1.5,0.321,1.2,1.3,12.5%,0.2,0.0%,12.5%,4.0,1.3,62.5%,0.3,0.88,8.9,2.0,2.8,1.7,124.0,8.1,2023-24,UC Irvine,Big West,13.9,2.1,3.5,2.8,13.2,1.0,167.0,1.01825,1.0,13.440899999999996
Matilda Ekh,8,Playmaking wing,Sweden,U18,2019,15.8,14.8,0.937,2.5,1.1,38.4%,7.4,33.9%,47.3%,6.1,1.6,92.3%,2.9,2.22,11.5,2.0,3.3,1.0,124.0,11.0,2024-25,Virginia Tech,ACC,11.9,2.3,3.4,1.0,11.4,1.0,36.5,1.050875,1.12,13.417572000000003
